Utterance,Intent
not sure why I need this but 9 July 1992 — zodiac?,get_Zodiac_Sign
for the record I was born 3 May 1999,get_Zodiac_Sign
"note: birthday is 3 June 1995, tell me the sign",get_Zodiac_Sign
"psst, 15 November 1990 is my dob, zodiac please",get_Zodiac_Sign
"yo I was born on 23 September 2000, what's my sign",get_Zodiac_Sign
"hey so my bday is 6 December 1992, zodiac pls",get_Zodiac_Sign
born 15 March 1992 lol what sign is that,get_Zodiac_Sign
"mera birthday 27 January 1992 hai, mera rashi kya hoga",get_Zodiac_Sign
"so like, 21 July 2007 — what zodiac does that make me",get_Zodiac_Sign
"quick one: 15 May 1992, what's the zodiac sign?",get_Zodiac_Sign
not sure why I need this but 7 July 1988 — zodiac?,get_Zodiac_Sign
for the record I was born 30 April 1995,get_Zodiac_Sign
"note: birthday is 29 June 1997, tell me the sign",get_Zodiac_Sign
"psst, 15 April 1988 is my dob, zodiac please",get_Zodiac_Sign
13/07/1999,get_Zodiac_Sign
1997-02-17 zodiac sign?,get_Zodiac_Sign
dob 23-11-2003,get_Zodiac_Sign
11/25/2003 what's my sign,get_Zodiac_Sign
Suggest a movie,get_suggest_movie
Recommend a movie,get_suggest_movie
Can you recommend a movie?,get_suggest_movie
Recommend a good movie,get_suggest_movie
Suggest a good movie,get_suggest_movie
Help me find a movie,get_suggest_movie
Find a movie for me,get_suggest_movie
Movie recommendation please,get_suggest_movie
I want to watch a movie,get_suggest_movie
Show me a movie,get_suggest_movie
Recommend a movie based on my preferences,get_suggest_movie
Help me choose a movie,get_suggest_movie
I need a movie suggestion,get_suggest_movie
any good movie recos?,get_suggest_movie
bruh suggest a movie,get_suggest_movie
give me a solid movie fr,get_suggest_movie
"I'm bored, suggest something to watch",get_suggest_movie
got any movie recommendations?,get_suggest_movie
what movie should I watch tonight,get_suggest_movie
what should I watch right now,get_suggest_movie
suggest something good to watch,get_suggest_movie
"I have nothing to watch, help",get_suggest_movie
can you pick a movie for me,get_suggest_movie
what's a good movie to watch this weekend,get_suggest_movie
"I'm in the mood for a movie, any suggestions?",get_suggest_movie
movie ideas please,get_suggest_movie
can you throw a movie recommendation my way,get_suggest_movie
help me pick something to watch tonight,get_suggest_movie
what movie should I put on,get_suggest_movie
give me a movie to watch,get_suggest_movie
any movie suggestions for tonight,get_suggest_movie
I want something new to watch,get_suggest_movie
recommend me a flick,get_suggest_movie
suggest a film,get_suggest_movie
what film should I watch,get_suggest_movie
movie suggestion?,get_suggest_movie
pls suggest a movie,get_suggest_movie
can u suggest a nice movie,get_suggest_movie
"I'm free tonight, suggest a movie",get_suggest_movie
"feeling bored, recommend a movie",get_suggest_movie
what's worth watching these days,get_suggest_movie
any decent movie to watch,get_suggest_movie
Can you suggest a Hindi film,get_suggest_movie
Suggest a Hindi movie,get_suggest_movie
I feel like watching a Hindi movie today,get_suggest_movie
Show me some English movies,get_suggest_movie
Recommend an English movie,get_suggest_movie
give me an English movie recommendation,get_suggest_movie
Show me some Tamil movies,get_suggest_movie
Suggest a Tamil movie,get_suggest_movie
I feel like watching a Tamil movie today,get_suggest_movie
I feel like watching a Telugu movie today,get_suggest_movie
I want to watch a Telugu movie,get_suggest_movie
Can you suggest a Telugu film,get_suggest_movie
Can you suggest a Malayalam film,get_suggest_movie
Any good Malayalam movies?,get_suggest_movie
Show me some Malayalam movies,get_suggest_movie
Recommend a Kannada movie,get_suggest_movie
Any good Kannada movies?,get_suggest_movie
Show me some Kannada movies,get_suggest_movie
Any good Korean movies?,get_suggest_movie
I want to watch a Korean movie,get_suggest_movie
Suggest a Korean movie,get_suggest_movie
I feel like watching a Spanish movie today,get_suggest_movie
Suggest a Spanish movie,get_suggest_movie
Show me some Spanish movies,get_suggest_movie
Any good French movies?,get_suggest_movie
I want to watch a French movie,get_suggest_movie
give me a French movie recommendation,get_suggest_movie
Recommend a Punjabi movie,get_suggest_movie
Can you suggest a Punjabi film,get_suggest_movie
I want to watch a Punjabi movie,get_suggest_movie
Can you suggest a Bengali film,get_suggest_movie
give me a Bengali movie recommendation,get_suggest_movie
Suggest a Bengali movie,get_suggest_movie
Show me some Marathi movies,get_suggest_movie
give me a Marathi movie recommendation,get_suggest_movie
I want to watch a Marathi movie,get_suggest_movie
I want to watch an action film tonight,get_suggest_movie
I'm in the mood for an action movie,get_suggest_movie
Any good action movies?,get_suggest_movie
Give me a comedy film to watch,get_suggest_movie
recommend a nice comedy movie,get_suggest_movie
Suggest a comedy movie,get_suggest_movie
Any good thriller movies?,get_suggest_movie
recommend a nice thriller movie,get_suggest_movie
Suggest something thriller,get_suggest_movie
I want to watch a horror film tonight,get_suggest_movie
Suggest something horror,get_suggest_movie
recommend a nice horror movie,get_suggest_movie
I'm in the mood for a romantic movie,get_suggest_movie
Give me a romantic film to watch,get_suggest_movie
I want to watch a romantic film tonight,get_suggest_movie
Give me a sci-fi film to watch,get_suggest_movie
Any good sci-fi movies?,get_suggest_movie
recommend a nice sci-fi movie,get_suggest_movie
Recommend a drama movie,get_suggest_movie
I'm in the mood for a drama movie,get_suggest_movie
I want to watch a drama film tonight,get_suggest_movie
Any good adventure movies?,get_suggest_movie
recommend a nice adventure movie,get_suggest_movie
Give me an adventure film to watch,get_suggest_movie
Suggest something animated,get_suggest_movie
Any good animated movies?,get_suggest_movie
I want to watch an animated film tonight,get_suggest_movie
recommend a nice family movie,get_suggest_movie
Suggest something family,get_suggest_movie
Suggest a family movie,get_suggest_movie
recommend a nice mystery movie,get_suggest_movie
I want to watch a mystery film tonight,get_suggest_movie
Suggest something mystery,get_suggest_movie
I'm in the mood for a crime movie,get_suggest_movie
Suggest something crime,get_suggest_movie
Recommend a crime movie,get_suggest_movie
Give me a fantasy film to watch,get_suggest_movie
recommend a nice fantasy movie,get_suggest_movie
Suggest something fantasy,get_suggest_movie
Suggest something war,get_suggest_movie
Recommend a war movie,get_suggest_movie
Suggest a war movie,get_suggest_movie
Give me a musical film to watch,get_suggest_movie
Suggest a musical movie,get_suggest_movie
I want to watch a musical film tonight,get_suggest_movie
I'm in the mood for a documentary movie,get_suggest_movie
Recommend a documentary movie,get_suggest_movie
I want to watch a documentary film tonight,get_suggest_movie
Any good superhero movies?,get_suggest_movie
recommend a nice superhero movie,get_suggest_movie
Give me a superhero film to watch,get_suggest_movie
Suggest a psychological thriller movie,get_suggest_movie
Any good psychological thriller movies?,get_suggest_movie
I want to watch a psychological thriller film tonight,get_suggest_movie
I want to watch a Shah Rukh Khan movie,get_suggest_movie
What are the best Shah Rukh Khan films?,get_suggest_movie
Suggest a film featuring Shah Rukh Khan,get_suggest_movie
Suggest a film featuring Aamir Khan,get_suggest_movie
I want to watch an Aamir Khan movie,get_suggest_movie
Recommend something with Aamir Khan in it,get_suggest_movie
I want to watch a Salman Khan movie,get_suggest_movie
Suggest movies with Salman Khan,get_suggest_movie
What are the best Salman Khan films?,get_suggest_movie
Recommend a movie starring Tom Cruise,get_suggest_movie
Suggest a film featuring Tom Cruise,get_suggest_movie
Recommend something with Tom Cruise in it,get_suggest_movie
Suggest a film featuring Leonardo DiCaprio,get_suggest_movie
Suggest movies with Leonardo DiCaprio,get_suggest_movie
Recommend something with Leonardo DiCaprio in it,get_suggest_movie
Recommend something with Brad Pitt in it,get_suggest_movie
Recommend a movie starring Brad Pitt,get_suggest_movie
Show me movies with Brad Pitt,get_suggest_movie
I want to watch a Deepika Padukone movie,get_suggest_movie
Suggest a film featuring Deepika Padukone,get_suggest_movie
Recommend a movie starring Deepika Padukone,get_suggest_movie
Recommend something with Alia Bhatt in it,get_suggest_movie
Suggest movies with Alia Bhatt,get_suggest_movie
I want to watch an Alia Bhatt movie,get_suggest_movie
What are the best Prabhas films?,get_suggest_movie
Suggest a film featuring Prabhas,get_suggest_movie
I want to watch a Prabhas movie,get_suggest_movie
Suggest a film featuring Vijay,get_suggest_movie
Recommend something with Vijay in it,get_suggest_movie
Show me movies with Vijay,get_suggest_movie
Recommend something with Rajinikanth in it,get_suggest_movie
Suggest movies with Rajinikanth,get_suggest_movie
What are the best Rajinikanth films?,get_suggest_movie
Recommend something with Scarlett Johansson in it,get_suggest_movie
I want to watch a Scarlett Johansson movie,get_suggest_movie
Find Scarlett Johansson movies,get_suggest_movie
I want to watch a Robert Downey Jr movie,get_suggest_movie
Suggest a film featuring Robert Downey Jr,get_suggest_movie
What are the best Robert Downey Jr films?,get_suggest_movie
Show me movies with Priyanka Chopra,get_suggest_movie
Suggest a film featuring Priyanka Chopra,get_suggest_movie
Recommend something with Priyanka Chopra in it,get_suggest_movie
Recommend something with Ranveer Singh in it,get_suggest_movie
What are the best Ranveer Singh films?,get_suggest_movie
Suggest movies with Ranveer Singh,get_suggest_movie
Show me movies with Hrithik Roshan,get_suggest_movie
I want to watch a Hrithik Roshan movie,get_suggest_movie
Recommend a movie starring Hrithik Roshan,get_suggest_movie
Show me movies with Ryan Reynolds,get_suggest_movie
Suggest movies with Ryan Reynolds,get_suggest_movie
Find Ryan Reynolds movies,get_suggest_movie
What are the best Dwayne Johnson films?,get_suggest_movie
Find Dwayne Johnson movies,get_suggest_movie
Show me movies with Dwayne Johnson,get_suggest_movie
Suggest movies with Emma Stone,get_suggest_movie
Recommend something with Emma Stone in it,get_suggest_movie
Suggest a film featuring Emma Stone,get_suggest_movie
I want to watch a Vikram movie,get_suggest_movie
Recommend something with Vikram in it,get_suggest_movie
What are the best Vikram films?,get_suggest_movie
Recommend a Tamil drama movie,get_suggest_movie
I want a war movie in Korean,get_suggest_movie
Any French musical movies you'd suggest?,get_suggest_movie
Any Hindi drama movies you'd suggest?,get_suggest_movie
Any Korean action movies you'd suggest?,get_suggest_movie
I want an action movie in Spanish,get_suggest_movie
Any Malayalam fantasy movies you'd suggest?,get_suggest_movie
Suggest a French psychological thriller film,get_suggest_movie
I want an adventure movie in Spanish,get_suggest_movie
Recommend a Korean documentary movie,get_suggest_movie
Any Korean mystery movies you'd suggest?,get_suggest_movie
Any Marathi sci-fi movies you'd suggest?,get_suggest_movie
Recommend a Tamil psychological thriller movie,get_suggest_movie
Recommend a Korean action movie,get_suggest_movie
Suggest a Bengali war film,get_suggest_movie
Recommend a Spanish sci-fi movie,get_suggest_movie
I want a fantasy movie in Malayalam,get_suggest_movie
I want a musical movie in Telugu,get_suggest_movie
I want a fantasy movie in Kannada,get_suggest_movie
Recommend a Korean animated movie,get_suggest_movie
Recommend a Spanish action movie,get_suggest_movie
Recommend a Kannada adventure movie,get_suggest_movie
Recommend a Bengali comedy movie,get_suggest_movie
Recommend a Telugu drama movie,get_suggest_movie
Suggest a Punjabi romantic film,get_suggest_movie
Recommend a Tamil movie starring Hrithik Roshan,get_suggest_movie
Find a Punjabi movie featuring Deepika Padukone,get_suggest_movie
I want to watch Prabhas's Marathi movie,get_suggest_movie
Recommend a Tamil movie starring Vikram,get_suggest_movie
Recommend a Tamil movie starring Vijay,get_suggest_movie
I want to watch Shah Rukh Khan's Punjabi movie,get_suggest_movie
Find a Punjabi movie featuring Robert Downey Jr,get_suggest_movie
Recommend a Marathi movie starring Deepika Padukone,get_suggest_movie
Recommend a Punjabi movie starring Alia Bhatt,get_suggest_movie
Recommend a Marathi movie starring Vijay,get_suggest_movie
I want to watch Aamir Khan's Punjabi movie,get_suggest_movie
I want to watch Priyanka Chopra's French movie,get_suggest_movie
I want to watch Ryan Reynolds's English movie,get_suggest_movie
Find a Hindi movie featuring Priyanka Chopra,get_suggest_movie
I want to watch Priyanka Chopra's English movie,get_suggest_movie
Suggest a Bengali film with Ranveer Singh,get_suggest_movie
I want to watch Brad Pitt's Korean movie,get_suggest_movie
Find a Punjabi movie featuring Dwayne Johnson,get_suggest_movie
I want to watch Priyanka Chopra's Spanish movie,get_suggest_movie
Recommend a Kannada movie starring Alia Bhatt,get_suggest_movie
Recommend a Prabhas musical movie,get_suggest_movie
I want a fantasy film with Ranveer Singh in it,get_suggest_movie
I want a documentary film with Shah Rukh Khan in it,get_suggest_movie
Recommend a Brad Pitt documentary movie,get_suggest_movie
I want an animated film with Scarlett Johansson in it,get_suggest_movie
Suggest an animated movie starring Prabhas,get_suggest_movie
Suggest a drama movie starring Ryan Reynolds,get_suggest_movie
Find war movies featuring Alia Bhatt,get_suggest_movie
Find adventure movies featuring Dwayne Johnson,get_suggest_movie
Suggest a musical movie starring Hrithik Roshan,get_suggest_movie
Recommend a Salman Khan family movie,get_suggest_movie
I want an adventure film with Robert Downey Jr in it,get_suggest_movie
Find crime movies featuring Emma Stone,get_suggest_movie
I want a superhero film with Dwayne Johnson in it,get_suggest_movie
I want a psychological thriller film with Priyanka Chopra in it,get_suggest_movie
I want a musical film with Scarlett Johansson in it,get_suggest_movie
Recommend a Vijay animated movie,get_suggest_movie
I want a drama film with Tom Cruise in it,get_suggest_movie
Recommend a Tom Cruise psychological thriller movie,get_suggest_movie
Find drama movies featuring Deepika Padukone,get_suggest_movie
I want to watch a Malayalam superhero movie featuring Vikram,get_suggest_movie
Recommend a drama English film with Vijay,get_suggest_movie
Suggest a Kannada sci-fi movie starring Vijay,get_suggest_movie
I want to watch a Marathi psychological thriller movie featuring Leonardo DiCaprio,get_suggest_movie
I want to watch a Hindi comedy movie featuring Dwayne Johnson,get_suggest_movie
Suggest a Marathi romantic movie starring Hrithik Roshan,get_suggest_movie
Find a family movie in Hindi with Hrithik Roshan,get_suggest_movie
Suggest a Spanish mystery movie starring Brad Pitt,get_suggest_movie
Suggest a Malayalam documentary movie starring Tom Cruise,get_suggest_movie
Suggest a Korean documentary movie starring Salman Khan,get_suggest_movie
I want to watch a Tamil romantic movie featuring Emma Stone,get_suggest_movie
Find an adventure movie in English with Tom Cruise,get_suggest_movie
Find an adventure movie in Punjabi with Ryan Reynolds,get_suggest_movie
Find a musical movie in Spanish with Vijay,get_suggest_movie
Suggest a Malayalam comedy movie starring Vikram,get_suggest_movie
Suggest a Telugu drama movie starring Prabhas,get_suggest_movie
Suggest a Tamil adventure movie starring Brad Pitt,get_suggest_movie
Find an action movie in Tamil with Priyanka Chopra,get_suggest_movie
Suggest a Marathi documentary movie starring Vijay,get_suggest_movie
Find a family movie in Telugu with Vijay,get_suggest_movie
I need something scary to watch tonight,get_suggest_movie
Feeling like watching a horror movie tonight,get_suggest_movie
"I want to laugh, suggest a funny movie",get_suggest_movie
"I'm feeling sad, suggest a movie to cheer me up",get_suggest_movie
Suggest something light-hearted to watch,get_suggest_movie
I want a movie that will make me cry,get_suggest_movie
Suggest a mind-bending movie,get_suggest_movie
I want an edge-of-the-seat thriller,get_suggest_movie
Recommend something feel-good,get_suggest_movie
I'm craving a good rom-com,get_suggest_movie
Suggest a movie for a family movie night,get_suggest_movie
recommend a movie for date night,get_suggest_movie
I want something with a lot of action and explosions,get_suggest_movie
suggest a movie that will keep me on my toes,get_suggest_movie
Suggest a good movie on Netflix,get_suggest_movie
Recommend a Prime Video movie,get_suggest_movie
What should I watch on Disney+ Hotstar,get_suggest_movie
Suggest a movie available on Hulu,get_suggest_movie
Recommend something on Netflix to binge,get_suggest_movie
any good movies on Amazon Prime right now,get_suggest_movie
suggest a movie on HBO Max,get_suggest_movie
Recommend a Bollywood movie,get_suggest_movie
